a52dec 0.7.4-11
kauth 5.89.0-1
kbd 2.4.0-2
kbookmarks 5.89.0-1
kcalc 21.12.1-1
kcmutils 5.89.0-1
kcodecs 5.89.0-1
kcolorpicker 0.1.6-1
kcompletion 5.89.0-1
kconfig 5.89.0-1
kconfigwidgets 5.89.0-1
kcontacts 1:5.89.0-1
kcoreaddons 5.89.0-1
kcrash 5.89.0-1
kdbusaddons 5.89.0-1
kde-cli-tools 5.23.5-1
kde-gtk-config 5.23.5-1
kdeclarative 5.89.0-1
kdeconnect 21.12.1-1
kdecoration 5.23.5-1
kded 5.89.0-1
kdegraphics-thumbnailers 21.12.1-1
kdelibs4support 5.89.0-1
kdeplasma-addons 5.23.5-1
kdesu 5.89.0-1
kdialog 21.12.1-1
kdnssd 5.89.0-1
kdsoap 2.0.0-1
kdsoap-ws-discovery-client git20200927-2
kemoticons 5.89.0-1
keyutils 1.6.3-1
kfilemetadata 5.89.0-1
kgamma5 5.23.5-1
kglobalaccel 5.89.0-1
kguiaddons 5.89.0-1
kholidays 1:5.89.0-1
khotkeys 5.23.5-1
ki18n 5.89.0-1
kiconthemes 5.89.0-1
kidletime 5.89.0-1
kimageannotator 0.5.3-1
kimageformats 5.89.0-1
kinfocenter 5.23.5-1
kio 5.89.0-1
kio-extras 21.12.1-1
kio-fuse 5.0.1-1
kipi-plugins 21.12.1-1
kirigami2 5.89.0-1
kitemmodels 5.89.0-1
kitemviews 5.89.0-1
kjobwidgets 5.89.0-1
kmenuedit 5.23.5-1
kmod 29-1
knewstuff 5.89.0-1
knotifications 5.89.0-1
knotifyconfig 5.89.0-1
konsole 21.12.1-1
kpackage 5.89.0-1
kparts 5.89.0-1
kpeople 5.89.0-1
kpeoplevcard 0.1-1
kpty 5.89.0-1
kquickcharts 5.89.0-1
krb5 1.19.2-2
kross 5.89.0-1
krunner 5.89.0-1
kscreen 5.23.5-1
kscreenlocker 5.23.5-1
kservice 5.89.0-1
ksshaskpass 5.23.5-1
ksystemstats 5.23.5-1
ktexteditor 5.89.0-1
ktextwidgets 5.89.0-1
ktorrent 21.12.1-1
kunitconversion 5.89.0-1
kuserfeedback 1.0.0-1
kwallet 5.89.0-1
kwallet-pam 5.23.5-1
kwayland 5.89.0-1
kwayland-integration 5.23.5-1
kwayland-server 5.23.5-1
kwidgetsaddons 5.89.0-1
kwin 5.23.5-1
kwindowsystem 5.89.0-1
kwrited 5.23.5-1
kxmlgui 5.89.0-1
l-smash 2.14.5-2
lame 3.100-3
layer-shell-qt 5.23.5-1
lcms2 2.12-1
ldb 2:2.4.1-4
ldns 1.8.1-1
less 1:590-1
lib2geom 1.1-2
libaccounts-glib 1.25-6
libaccounts-qt 1.16-3
libaio 0.3.112-2
libarchive 3.5.2-2
libass 0.15.2-1
libassuan 2.5.5-1
libasyncns 0.8+3+g68cd5af-3
libatasmart 0.19-5
libavc1394 0.5.4-4
libavif 0.9.3-1
libb2 0.98.1-2
libblockdev 2.26-3
libbluray 1.3.0-1
libbsd 0.11.3-1
libbytesize 2.6-3
libcaca 0.99.beta20-1
libcanberra 0.30+2+gc0620e4-5
libcap 2.62-1
libcap-ng 0.8.2-6
libcddb 1.3.2-6
libcdio 2.1.0-2
libcdio-paranoia 10.2+2.0.1-2
libcdr 0.1.7-3
libcloudproviders 0.3.1-2
libcolord 1.4.5-4
libcroco 0.6.13-2
libcups 1:2.4.0-4
libcurl-gnutls 7.81.0-1
libdaemon 0.14-5
libdatrie 0.2.13-1
libdbusmenu-qt5 0.9.3+16.04.20160218-6
libdca 0.0.7-1
libde265 1.0.8-1
libdmtx 0.7.5-2
libdrm 2.4.109-1
libdvbpsi 1:1.3.3-2
libdvdnav 6.1.1-1
libdvdread 6.1.2-1
libebml 1.4.2-1
libedit 20210910_3.1-1
libelf 0.186-2
libepoxy 1.5.9-1
libevdev 1.12.0-1
libevent 2.1.12-1
libfakekey 0.3-2
libfdk-aac 2.0.2-1
libffi 3.4.2-4
libfontenc 1.1.4-3
libfreeaptx 0.1.1-1
libgcrypt 1.9.4-1
libgit2 1:1.3.0-1
libglvnd 1.4.0-1
libgpg-error 1.43-1
libgudev 237-1
libheif 1.12.0-2
libibus 1.5.25-5
libical 3.0.12-1
libice 1.0.10-3
libid3tag 0.15.1b-11
libidn 1.38-1
libidn2 2.3.2-1
libiec61883 1.2.0-6
libimobiledevice 1.3.0-5
libinih 53-1
libinput 1.19.3-1
libinstpatch 1.1.6-1
libjpeg-turbo 2.1.2-1
libkdcraw 21.12.1-1
libkexiv2 21.12.1-1
libkipi 21.12.1-1
libksba 1.6.0-1
libkscreen 5.23.5-1
libksysguard 5.23.5-1
libktorrent 21.12.1-1
libldac 2.0.2.3-1
libldap 2.6.0-2
liblqr 0.4.2-3
libmad 0.15.1b-9
libmanette 0.2.6-2
libmatroska 1.6.3-1
libmbim 1.26.2-1
libmd 1.0.4-1
libmfx 21.3.5-2
libmicrohttpd 0.9.75-1
libmm-glib 1.18.4-1
libmng 2.0.3-3
libmnl 1.0.4-3
libmodplug 0.8.9.0-3
libmpc 1.2.1-1
libmpcdec 1:0.1+r475-3
libmpeg2 0.5.1-7
libmtp 1.1.19-1
libndp 1.8-1
